Author,Input,Method,Approach,Advantages,Limitations
Fischer \cite{Fischer1997},Sketch Profile,Normal Bisector,Midpoints at normal intersection; B-spline fitting,No branches,Post processing at interectng midcurves
Zhu \cite{Zhu2015} \cite{Zhu2016},Surfaces,Normal Bisector,Midpoints at normal intersection; surface fitting,Any surface,Sampling errors
