shape_name,chamfer,adj_bce,n_pred_nodes,n_gt_nodes,pred_coords_json,gt_coords_json
I,0.623371,1.179517,3,2,"[[7.560575485229492, 14.32249641418457], [7.5271806716918945, 14.143427848815918], [7.439413547515869, 11.18010139465332]]","[[7.5, 5.0], [7.5, 20.0]]"
L,0.484419,1.142403,4,3,"[[8.374591827392578, 30.473777770996094], [15.594383239746094, 20.65138816833496], [17.154083251953125, 3.7678909301757812], [20.480682373046875, 7.544881820678711]]","[[7.5, 5.0], [7.5, 32.5], [35.0, 32.5]]"
Plus,0.106887,1.175051,8,5,"[[12.441476821899414, 28.243858337402344], [11.824790954589844, 30.890361785888672], [10.420513153076172, 42.74193572998047], [8.005730628967285, 0.3530387878417969], [-1.0676031112670898, -2.2816295623779297], [20.086700439453125, 43.262855529785156], [27.692119598388672, 27.413484573364258], [27.819564819335938, 25.86457061767578]]","[[12.5, 0.0], [12.5, 22.5], [12.5, 45.0], [-9.5367431640625e-07, 22.5], [25.0, 22.5]]"
T,0.112061,1.128916,5,4,"[[-2.661357879638672, 15.590192794799805], [12.012039184570312, 21.49851417541504], [12.521608352661133, 21.749156951904297], [10.159005165100098, 0.734837532043457], [3.1328506469726562, 20.661876678466797]]","[[12.5, 0.0], [12.5, 22.5], [25.0, 22.5], [0.0, 22.5]]"
