epoch,train_loss,train_chamfer,train_adj,val_loss,val_chamfer,val_adj,lr
1,0.9866308274778347,0.2939261452665607,1.385409401458444,0.9591183662414551,0.2707589328289032,1.3767189025878905,0.00029998167992352655
2,0.9300646521512744,0.23978587420820033,1.380557539393601,0.9216703176498413,0.23512498736381532,1.3730906963348388,0.0002999267242143111
3,0.880897392347021,0.19185158321000997,1.378091618852708,0.8714354395866394,0.1855908989906311,1.3716891288757325,0.0002998351464318525
4,0.842302932322604,0.1537397107453022,1.377126419428483,0.8304420232772827,0.1459256201982498,1.3690328121185302,0.0002997069691715983
5,0.8200494467633442,0.13136260030628408,1.377373678012959,0.8100633144378662,0.12640969157218934,1.3673073053359985,0.00029954222405936945
6,0.8016700837218645,0.11435524504450918,1.3746297035402464,0.7949736833572387,0.1123420774936676,1.3652631998062135,0.00029934095174355733
7,0.78839674678821,0.10118774187217638,1.3744180144615543,0.7817365407943726,0.09924923330545425,1.364974594116211,0.00029910320188509414
8,0.7726146850771117,0.08504295240617493,1.3751434596996863,0.7700892448425293,0.08896636217832565,1.362245750427246,0.00029882903314519993
9,0.7532420060009632,0.0671500527453654,1.3721839131660831,0.7566813707351685,0.07746449112892151,1.3584337949752807,0.0002985185131709087
10,0.7452741114838609,0.056814852125436355,1.376918524214365,0.7429001927375793,0.06524197459220886,1.3553164720535278,0.00029817171857837786
11,0.7340121269226074,0.04845278456951808,1.371118687888951,0.7348260641098022,0.057363924384117124,1.354924249649048,0.00029778873493398384
12,0.7242359970379801,0.040309637640286416,1.3678527179273587,0.7265799283981323,0.049222201108932495,1.3547154188156127,0.0002973696567332102
13,0.7217449227583062,0.034157021314773744,1.3751758070825373,0.7221750378608703,0.04477030634880066,1.3548094749450683,0.0002969145873773321
14,0.7202781305729764,0.030518041724718892,1.3795201685822125,0.7181174039840699,0.03958067670464516,1.3570734500885009,0.0002964236391479039
15,0.7124283198014046,0.02702685250240622,1.3708029534052877,0.7138626337051391,0.03483075201511383,1.3580637454986573,0.0002958969331790549
16,0.7153342510890035,0.02968390112363019,1.3713007274183255,0.7102692127227783,0.03183345943689346,1.35687153339386,0.00029533459942760165
17,0.7125490944362382,0.02512494478266216,1.3748483194888217,0.7066684246063233,0.030648937821388243,1.3520390033721923,0.00029473677664098295
18,0.7099808743856486,0.023082064989122374,1.3737976157549516,0.7060050129890442,0.029365740716457367,1.3532785654067994,0.000294103612323026
19,0.7065613831131203,0.021653773281180743,1.3698151956484155,0.7037088990211486,0.030358269065618514,1.3467012882232665,0.00029343526269755196
20,0.7110443809657421,0.02394103931570516,1.3742066702796418,0.7046165466308594,0.030401325225830077,1.3484304904937745,0.00029273189266983027
21,0.704006151666919,0.02149054531044173,1.3650312180657989,0.7001680135726929,0.028951364010572432,1.342433261871338,0.0002919936757858904
22,0.7102392992927032,0.023524495438464636,1.3734296062617626,0.701916766166687,0.03064131736755371,1.3425508737564087,0.0002912207941897024
23,0.7052516613191772,0.020366074969467608,1.3697711808010213,0.699716579914093,0.029611046612262725,1.3402111053466796,0.00029041343857823525
24,0.71496619877306,0.02583818976740235,1.3782559968892811,0.7011732339859009,0.030368806421756746,1.3416088819503784,0.00028957180815440524
25,0.7078396272890776,0.026213425925923784,1.3632524059814157,0.7016244769096375,0.031248296797275543,1.340752363204956,0.000288696110577926
26,0.7153394233833239,0.033059647650394625,1.3645595416281988,0.7051326036453247,0.033960606157779696,1.3423440217971803,0.0002877865619140711
27,0.7120346207063175,0.02808773655046537,1.3678937594867446,0.7032350301742554,0.03042534589767456,1.3456193447113036,0.00028684338658036354
28,0.7233264376816241,0.032690548781052375,1.3812717731716564,0.7078126311302185,0.033767585456371305,1.348090124130249,0.0002858668172912038
29,0.7121288874774303,0.027027176638830055,1.3702033920195495,0.7140779376029969,0.03497394323348999,1.3582079887390137,0.0002848570950004513
30,0.7100684284006508,0.023601670433016655,1.3729335092803807,0.697803509235382,0.03052687495946884,1.3345532417297363,0.00028381446884197253
31,0.7064319970538315,0.02427259398606217,1.3643188094629826,0.6952314496040344,0.030116775631904603,1.330229353904724,0.0002827391960681709
32,0.7058785575107464,0.02302352375197179,1.3657100466848577,0.6947494864463806,0.03033488094806671,1.3288291692733765,0.0002816315419865136
33,0.7039188522737003,0.02428343212141574,1.3592708226546502,0.6948321461677551,0.030547505617141722,1.3285693168640136,0.0002804917798940713
34,0.7026461293396441,0.021857547094521014,1.3615771659369607,0.6938125967979432,0.02956200987100601,1.3285011768341064,0.00027932019101008557
35,0.6959892800710734,0.02196257970142133,1.3480534125300287,0.6922642350196838,0.02983703464269638,1.3248543977737426,0.00027811706440658264
36,0.6985173769367551,0.020783145740194228,1.355468461814436,0.6858777523040771,0.029007622599601747,1.3137402534484863,0.0002768826969370492
37,0.6981726636006994,0.02118993423951482,1.3539654780360102,0.686227810382843,0.029865606874227523,1.3127243995666504,0.0002756173931631881
38,0.6887376574636663,0.020396652730923254,1.3366820383997797,0.6806873798370361,0.028966575860977173,1.303441572189331,0.0002743214652797724
39,0.6884167333251064,0.02098260136339271,1.3348682655871493,0.676185154914856,0.02942386791110039,1.293522548675537,0.00027299523303761595
40,0.6854707199392966,0.017579519361691567,1.3357823948258336,0.6705862045288086,0.028180551528930665,1.2848113298416137,0.0002716390236646797
41,0.6800773328947789,0.021055270890587743,1.3180441023076621,0.6707224607467651,0.030064620077610016,1.2813157081604003,0.000270253171785333
42,0.682551005511608,0.02168931048905965,1.3217233731908706,0.6860336899757385,0.03564981669187546,1.3007677793502808,0.0002688380193377901
43,0.6848934605283644,0.023732502194284237,1.3223219160894746,0.6759062886238099,0.03265301287174225,1.2865065813064576,0.000267393915489742
44,0.6683842371968389,0.020831003170279624,1.2951064619045813,0.6714975357055664,0.03448090404272079,1.274033212661743,0.00026592121655220473
45,0.6730217001970532,0.025694301478492405,1.2946547871654472,0.6809642434120178,0.030569375306367875,1.300789713859558,0.0002644202858916046
46,0.6644370550090827,0.021102891041381844,1.286668341136673,0.6784086585044861,0.03541226089000702,1.2859927415847778,0.00026289149384012327
47,0.6533628696376838,0.021485070001731797,1.2637556108456214,0.675747013092041,0.03703015148639679,1.277433705329895,0.0002613352176043235
48,0.6608586467585518,0.02113417796428921,1.2794488980932144,0.6527242541313172,0.032779541611671445,1.239889430999756,0.0002597518411720796
49,0.6506585530864383,0.02571943452925358,1.2498782444926142,0.6534770607948304,0.03585925251245499,1.235235595703125,0.00025814175521783356
50,0.6419043911313548,0.024020545293115876,1.2357676943529,0.6306030988693238,0.03329980969429016,1.1946065425872803,0.0002565053570062023
51,0.632939203271588,0.021736017238457226,1.2224063826996145,0.6828471064567566,0.0358896404504776,1.2939148902893067,0.00025484305029395865
52,0.6334520861940477,0.023930215466659046,1.2190437444205422,0.6251726150512695,0.03769028186798096,1.1749646425247193,0.0002531552452304103
