365.39976	107.17142028
171.566095	107.45031528


171.566095	107.45031528
168.346816	116.68959528


168.346816	116.68959528
169.929655	125.76121028


261.410055371246	285.95163169917
169.929655	125.76121028




256.74496	289.06169528
266.33215	282.67023528
176.85172	126.61210528
173.1274	120.11671528
176.30755	112.78911528
184.84104	112.76394528
365.39976	112.23132528
365.39976	102.11151528
184.84104	102.11151528
166.82464	102.11151528
158.74258	117.02492528
166.73191	131.40570528
180.15256	155.56286528
256.74496	289.06169528
